Blog	others	company	shows	done	took	play	behind	against	asked	site	several	thanks	finally	under	family	man	everyone	won	point	fun	media	possible	bit	google	start	trying	longer	instead	hard	set	less	game	night	often	line	team	giving	looks	someone	story	feel	number	bad	available	along	early	become	recently	important	far	told	information	short	internet	quite	place	isn	black	away	social	easy	power	anything	support	business	needs	coming	talk	including	season	released	future	please	probably	reading	com	second	almost	recent	photo	web	twitter	run	friends	house	four	music	tell	rather	personal	interesting	idea	space	reason	york	open	ways	pretty	seems	page	favorite	happy	true	problem	says	via	must	december	share	maybe	soon	announced	state	million	anyone	kind	seen	based	written	him	however	create	hand	whole	yes	book	five	deal	months	head	minutes	having	worth	public	makes	wanted	known	weeks	half	went	side	ask	care	service	fact	current	stuff	wrote	else	person	add	nothing	buy	came	facebook	order	following	takes	heard	american	project	america	hit	across	creating	taking	according	yesterday	popular	everything	aren	original	word	likely	above	experience	control	phone	meet	interview	earlier	wrong	group	special	running	system	self	able	report	nbsp	email	death	latest	couple	comments	step	call	single	school	level	large	wait	holiday	happen	features	city	john	talking	added	link	hope	goes	stop	art	decided	close	screen	attention	photos	morning	party	thinking	works	lead	whether	below	stories	fans	update	building	starting	entire	saw	version	ahead	links	process	write	data	paper	late	answer	front	gets	name	created	yourself	wasn	white	friend	amazon	ones	currently	article	similar	games	tuesday	wants	fast	hear	users	program	cool	learned	friday	completely	example	heart	third	pay	writing	turn	exactly	turned	seem	track	plan	planning	job	simple	mind	understand	government	lost	either	security	question	piece	sometimes	nice	children	hold	young	include	companies	red	november	women	pick	given	learn	tried	date	fan	move	perfect	couldn	view	believe	haven	gives	biggest	car	especially	mobile	face	national	launched	ready	questions	previous	save	although	posted	monday	problems	weekend	outside	enjoy	blue	hours	box	search	market	awesome	six	feature	law	style	food	term	series	books	leave	network	content	health	members	needed	wonderful	matter	store	note	points	release	movie	focus	main	guide	action	moment	user	opportunity	spent	rest	source	continue	christmas	image	mark	certain	digital	picture	age	woman	ten	sign	street	click	appears	brought	tools	taken	type	sort	provide	changes	remember	covered	happened	beyond	event	major	size	price	services	bring	success	etc	former	sound	itself	reports	moving	thousands	forward	form	chance	follow	device	choice	minute	turns	men	app	launch	movies	growing	history	beautiful	huge	amazing	product	playing	office	mean	expect	research	david	guess	knew	clear	later	cover	saying	copy	words	country	cut	smart	fight	north	complete	official	videos	interested	role	youtube	daily	per	design	access	hundreds	usually	themselves	science	goal	president	green	easily	university	published	apparently	sell	built	pages	local	paul	lots	terms	improve	among	simply	learning	addition	due	quickly	worked	myself	technology	center	immediately	readers	customers	whatever	press	amp	specific	dead	road	low	october	inside	sales	general	details	code	results	round	shared
Publishing 2.0	1	3	1	0	0	1	1	0	1	9	1	0	1	0	0	0	2	1	0	0	13	0	1	9	2	2	1	1	1	2	1	2	0	2	0	1	0	1	1	4	0	2	0	0	1	0	4	1	7	0	0	3	0	4	1	0	2	0	1	1	1	1	0	1	7	3	0	1	0	0	0	21	0	0	8	10	1	1	3	1	22	6	0	0	1	0	0	1	2	0	2	1	2	1	5	3	0	0	1	12	0	0	1	1	0	0	0	1	1	0	0	1	2	1	3	5	0	1	0	0	0	1	0	0	0	2	1	0	1	3	0	0	0	0	0	0	0	1	0	0	0	2	2	1	1	0	1	1	0	0	0	1	0	0	5	0	0	0	1	0	2	0	0	1	1	0	1	1	0	3	0	2	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	1	0	1	0	4	2	1	0	0	1	12	2	1	1	0	0	0	1	1	0	0	0	2	1	2	1	1	9	0	1	0	0	1	1	0	0	7	0	0	1	0	1	1	2	2	1	0	0	0	0	0	0	0	0	5	1	0	0	0	5	0	1	2	1	0	0	0	2	2	0	1	1	0	2	0	1	0	0	0	0	2	3	1	1	0	0	0	4	0	1	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	1	2	0	1	1	1	0	2	0	0	0	1	0	0	0	0	1	2	2	0	6	0	1	0	2	0	0	0	2	14	0	0	0	1	1	0	0	1	0	0	3	0	0	2	0	2	0	0	0	0	2	0	0	0	1	2	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	2	0	2	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	3	2	0	0	0	1	1	3	0	0	1	0	1	1	3	0	4	0	0	3	0	1	2	1	0	0	0	0	1	0	0	0	4	0	0	4	0	0	3	0	1	1	0	0	0	0	0	2	0	1	1	0	0
Eschaton	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	3	0	0	1	0	0	0	0	3	2	0	0	0	1	4	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	2	2	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	2	0	0	2	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	4	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
Word Nerd Speaks	4	1	2	19	8	2	6	8	8	0	6	0	4	8	6	10	5	7	5	5	0	3	12	0	9	4	6	9	4	12	5	4	11	13	7	0	2	6	37	10	13	3	2	1	11	8	2	6	6	8	13	0	8	7	8	12	4	1	18	0	6	0	13	1	2	8	4	4	0	0	0	0	35	8	5	0	3	7	1	3	1	1	4	16	24	5	1	12	9	1	0	2	2	2	1	3	3	15	5	5	17	10	2	1	15	1	2	1	13	7	5	2	3	0	3	7	6	1	17	30	1	2	15	10	6	21	5	2	4	16	9	5	3	5	8	9	1	7	6	7	1	13	4	0	1	3	25	2	3	17	3	11	9	14	9	7	8	12	6	2	1	0	2	6	1	5	0	1	0	5	5	3	12	4	3	4	1	9	1	0	2	10	7	1	2	1	6	3	1	0	5	1	0	5	1	3	5	6	4	1	1	6	0	0	0	2	3	2	4	4	7	2	8	2	0	10	0	4	4	23	2	8	6	4	2	2	3	0	1	2	1	1	7	1	1	0	1	24	0	4	4	4	9	2	4	0	8	4	1	9	0	6	1	0	2	1	1	2	1	3	0	0	4	6	0	2	0	7	3	3	9	5	3	7	2	1	7	2	7	3	8	3	0	4	6	0	5	2	19	12	7	9	0	0	0	3	1	5	7	3	2	3	0	1	7	1	1	4	9	4	4	2	5	4	1	12	0	1	6	7	3	1	5	2	0	0	0	3	4	17	5	4	0	1	3	5	0	1	8	4	1	0	5	2	0	1	3	1	3	15	3	3	2	0	0	5	3	3	0	2	8	0	2	4	6	0	1	0	4	0	3	0	3	3	8	1	3	1	15	1	8	0	0	0	0	25	1	4	3	6	6	1	1	3	1	0	3	0	0	0	5	0	0	1	0	6	1	1	2	0	2	5	1	1	0	0	0	3	4	7	5	0	0	3	1	2	1	1	0	9	8	4	6	2	4	2	35	12	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	5	6	0	2	0	6	1	0	1	0	5	0	16	2	0	12	2	1	1	4	0	1	0	6	1	12	0	1	2	2	0	3	0	2	4	4	2	1	0	4	0	0	0	1	0	8	5
The Huffington Post Full Blog Feed	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lose Weight - Diet Program Review: FatLadySingz.com	1	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joho the Blog	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncrate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legal Insurrection	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	2	0	0	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Marginal Revolution	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
ArtsBeat	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
